sep=,

File creation date: 06/05/2018
Annex VI,Last update: 14/09/2017
LIST OF UV FILTERS ALLOWED IN COSMETIC PRODUCTS

Substance identification,Conditions

Reference number,Chemical name / INN / XAN,Name of Common Ingredients Glossary,CAS Number,EC Number,"Product Type, body parts","Maximum concentration in ready for use preparation",Other,Wording of conditions of use and warnings,Regulation,Regulated By,Other Directives/Regulations,SCCS opinions,Chemical/IUPAC Name,Identified INGREDIENTS or substances e.g.,CMR,Update date
2,"N,N,N -Trimethyl-4-(2-oxoborn-3-ylidenemethyl) anilinium methyl sulphate","CAMPHOR BENZALKONIUM METHOSULFATE","52793-97-2","258-190-8","","6%","","","(EC) No 1223/2009","83/574/EEC","","1015/06-Opinion on Camphor benzalkonium methosulfate;1202/08-Opinion on Camphor benzalkonium methosulfate","","CAMPHOR BENZALKONIUM METHOSULFATE","",15/10/2010
3,"Benzoic acid, 2 -hydroxy-, 3,3,5-trimethylcyclohexyl ester / Homosalate","HOMOSALATE","118-56-9","204-260-8","","10%","","","(EC) No 1223/2009","83/574/EEC","","1086/07-Opinion on Homosalate","","HOMOSALATE","",26/10/2010
4,"2 -Hydroxy-4-methoxybenzophenone / Oxybenzone","BENZOPHENONE-3","131-57-7","205-031-5","","6%  Reg (EU) 2017/238 of 10 February 2017 - date of application from September 2017","Not more than 0,5 % to protect product formulation","Contains Benzophenone -3 (1)","(EC) No 1223/2009","83/574/EEC","","0483/01-Evaluation of Potentially Estrogenic Effects of UV-filters;1069/06-Opinion on Benzophenone-3;1201/08-Opinion on Benzophenone-3","2-Hydroxy-4-methoxybenzophenone / Oxybenzone","BENZOPHENONE-3","",14/09/2017
6,"2 -Phenylbenzimidazole-5-sulphonic acid and its potassium, sodium and triethanolamine salts / Ensulizole","PHENYLBENZIMIDAZOLE SULFONIC ACID ","27503-81-7 ","248-502-0","","8%(as acid)","","","(EC) No 1223/2009","83/574/EEC","","1056/06-Opinion on Phenylbenzimidazole Sulfonic Acid and its salts","","PHENYLBENZIMIDAZOLE SULFONIC ACID;POTASSIUM PHENYLBENZIMIDAZOLE SULFONATE;SODIUM PHENYLBENZIMIDAZOLE SULFONATE;TEA-PHENYLBENZIMIDAZOLE SULFONATE","",08/03/2011
7,"3,3' -(1,4-Phenylenedimethylene) bis (7,7-dimethyl-2-oxobicyclo-[2.2.1] hept-1-ylmethanesulfonic acid) and its salts / Ecamsule","TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID","92761-26-7 / 90457-82-2","410-960-6 / -","","10%(as acid)","","","(EC) No 1223/2009","94/32/EC","","","","TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID","",26/10/2010
8,"1 -(4-tert-Butylphenyl)-3-(4-methoxyphenyl) propane-1,3-dione / Avobenzone","BUTYL METHOXYDIBENZOYLMETHANE","70356-09-1","274-581-6","","5%","","","(EC) No 1223/2009","93/47/EEC","","","","BUTYL METHOXYDIBENZOYLMETHANE","",15/10/2010
9,"alpha -(2-Oxoborn-3-ylidene)toluene-4-sulphonic acid and its salts","BENZYLIDENE CAMPHOR SULFONIC ACID","56039-58-8","-","","6%(as acid)","","","(EC) No 1223/2009","94/32/EC","","","","BENZYLIDENE CAMPHOR SULFONIC ACID","",26/10/2010
10,"2 -Cyano-3,3-diphenyl acrylic acid, 2-ethylhexyl ester / Octocrilene","OCTOCRYLENE","6197-30-4","228-250-8","","10%(as acid)","","","(EC) No 1223/2009","95/34/EC","","","","OCTOCRYLENE","",15/10/2010
11,"Polymer of N -{(2 and 4)-[(2-oxoborn-3-ylidene)methyl]benzyl}acrylamide","POLYACRYLAMIDOMETHYL BENZYLIDENE CAMPHOR","113783-61-2","-","","6%","","","(EC) No 1223/2009","96/41/EC","","","","POLYACRYLAMIDOMETHYL BENZYLIDENE CAMPHOR","",26/10/2010
12,"2 -Ethylhexyl 4-methoxycinnamate / Octinoxate","ETHYLHEXYL METHOXYCINNAMATE","5466-77-3","226-775-7","","10%","","","(EC) No 1223/2009","97/45/EC","","0483/01-Evaluation of Potentially Estrogenic Effects of UV-filters","","ETHYLHEXYL METHOXYCINNAMATE","",15/10/2010
